,codes,error added
0,Qc38-5&eU-sPZ9C-1234,
1,Cn85-b$uA-qT79C-1234,
2,Ws6Y-d@eE-rVA9C-1234,
3,Du3Q-p#aA-mX#9C-1234,
4,Km7F-3$oU-mK%9C-1234,
5,Dy55-5@eU-pSW9C-1234,
6,Zu7H-h&eE-mWV9C-1234,
7,Sf1F-p&oU-vX%9C-1234,
8,Cb11-3$uU-rKD9C-1234,
9,Yx2K-5%oU-mS&9C-1234,
10,Km59-m#oA-jBc9C-1234,
11,Pu5K-8&aE-nPv9C-1234,
12,Xf1E-x^uE-qB49C-1234,
13,Ad3D-b$eU-hVn9C-1234,
14,Ep7X-r*oE-tNa9C-1234,
15,My2B-f^oA-tWu9C-1234,
16,test,totally wrong
17,Hh82-o#oU-wSa9C-1234,
18,Zg7N-o$aA-kNx9C-1234,
19,Eh5Q-o$eE-qZb9C-1234,
20,Wk24-5*eE-zX29C-1234,
21,Zr0Y-s$eA-kNs9C-1234,0 forbidden
22,Rf3M-y*eU-nKS9C-12345,
23,Cm88-c$eU-fXa9C-1234,
24,Zf2R-m@aE-rP$9C-1234,
25,Nc5X-t^aE-pZy9C-1234,
26,Gm63-o^uU-fK19C-1234,
27,Qw61-e*eE-cCf9C-1234,
28,Fq7E-7^aE-jGB9C-9999,Last 4 digits
29,Jr9E-3%uE-vCk9C-1234,
30,Px8P-g^uU-hB^9C-1234,
31,Mo1T-v#oU-vKn9C-1234,
32,Tp1J-8&eE-jPU9C-1234,
33,Dd1U-z*aA-nH89C-1234,
34,Nv51-k@aU-kVM9C-1234,
35,Gu6A-6^eE-kB$9C-1234,
36,Xx88-o$uU-rTj9C-1234,
37,ej15-x^eA-vQx9C-1234,
38,Tg45-m^uU-fQY9C-1234,
39,Ys9D-y@aE-mJX9C-1234,
40,Km3V-y&aE-bGD9C-1234,
41,Af3Y-x*eU-jXW9C-1234,
42,Ze3P-v$aA-wC%9C-1234,
43,Jk8K-h#uE-gFN9C-1234,
44,Jf4B-8&uU-wJ19C-1234,
45,Ek4U-m$uA-zRE9C-1234,
46,Xx16-k%eE-dPp9C-1234,
47,Be34-x*oU-mWe9C-1234,
48,Mc8N-p*aE-zPK9C-1234,
49,Wv3T-9$oU-cQ$9C-1234,
50,To1Y-3*eA-hNV9C-1234,
51,Sb68-m#aU-jBS9C-1234,
52,Vb1M-7&aU-sTR9C-1234,
53,Zj3Q-9^eA-nBp9C-1234,
54,Mx7B-8^uA-pZA9C-1234,
55,Dw2Q-t@aU-xJz9C-1234,
56,Zr5P-z$aU-wGh9C-1234,
57,Ns8N-k$aE-vZR9C-1234,
58,Ph4N-n&oE-fSd9C-1234,
59,Pn5W-f*uE-kMv9C-1234,
60,Yj87-g@uE-rG89C-1234,
61,Rc3Y-y$aA-xBk9C-1234,
62,Yq5J-h$oU-wFx9C-1234,
63,Kt3J-u%eU-pB29C-1234,
64,Km8N-n$oE-tJB9C-1234,
65,Qg4H-3$eA-rMh9C-1234,
66,Ck92-5%eE-qR29C-1234,
67,Qu8S-s%uA-wG^9C-1234,
68,Qj28-e^oA-kHk9C-1234,
69,Gu4P-d*uA-qRg9C-1234,
70,Ax92-d*eU-pCM9C-1234,
71,Va1M-a#eU-nWT9C-1234,
72,Bc5K-u$eA-xBa9C-1234,
73,Pk6G-f@aE-wZJ9C-1234,
74,Tq6M-e*uA-mJY9C-1234,
75,Ee66-h*uA-wPp9C-1234,
76,Sn2P-3#uU-cQZ9C-1234,
77,Zx45-7#oE-sTj9C-1234,
78,Bx9A-m@oU-sJN9C-1234,
79,Jt9M-s@aU-mCy9C-1234,
80,Jz9J-1@eA-pZ99C-1234,
81,Xy2J-f$aU-dMt9C-1234,
82,Mm2R-s@uE-vS$9C-1234,
83,Th53-3$aU-dRN9C-1234,
84,Qj78-x^uE-nZT9C-1234,
85,Yb97-k@uE-vSP9C-1234,
86,Se3S-n&uU-qK59C-1234,
87,Um8U-r#aE-cGE9C-1234,
88,Xt4U-p%aE-mHp9C-1234,
89,Vu2A-j%oU-bQc9C-1234,
90,Dn6S-2*oU-hM19C-1234,
91,Xr5W-6&eA-sTv9C-1234,
92,Ex2R-r*aU-tHw9C-1234,
93,Mv2S-k*eA-hQR9C-1234,
94,Fr4K-9^oA-qF19C-1234,
95,Nv1B-p*eE-nBt9C-1234,
96,Sp1D-h#oE-xKU9C-1234,
97,Ew71-g#uU-qNp9C-1234,
98,Wd91-h#uU-qDT9C-1234,
99,Et79-r*eU-tCT9C-1234,
100,Vv8U-o%eU-dXN9C-1234,
101,Xa97-1$eE-nGX9C-1234,
102,Mh5H-2#aE-sBV9C-1234,
103,Cw2R-d^eA-tPz9C-1234,
104,Am4G-6^eA-vNv9C-1234,
105,Po51-c$oE-pJk9C-1234,
106,Yd51-v&aA-sCs9C-1234,
107,Fp8Y-p#uU-rMj9C-1234,
108,Qc49-t*uU-gSK9C-1234,
109,Rb35-o*uE-rR69C-1234,
110,Wt42-g^uA-kFT9C-1234,
111,At7S-t&oE-vGU9C-1234,
112,Zw7M-9#uU-xMG9C-1234,
113,Uf1Y-k*aE-bJX9C-1234,
114,Yb5P-m$eE-mMU9C-1234,
115,Dr5W-5&uE-cCJ9C-1234,
116,Qc25-m&uA-rCb9C-1234,
117,Je67-y*eE-jWp9C-1234,
118,Ef6C-p*uA-wQ#9C-1234,
119,Ex99-5%eU-wHs9C-1234,
120,Kn7Y-m$eA-wXA9C-1234,
121,Az9F-2&oE-mVF9C-1234,
122,Fd3M-6^uA-gVe9C-1234,
123,Xu9U-x*aU-dBQ9C-1234,
124,Uh71-d%eA-nS$9C-1234,
125,An8F-9*eE-xV59C-1234,
126,Zh15-y#uA-fG19C-1234,
127,Ro7Y-m$eE-qD89C-1234,
128,Rg33-d#aA-wF89C-1234,
129,Ny1V-8@eA-xXb9C-1234,
130,Ae43-g&eA-kMx9C-1234,
131,Aj51-z&aU-wGF9C-1234,
132,Ky7Z-1@oU-zQZ9C-1234,
133,Kh59-z*aU-jBt9C-1234,
134,Uc1G-k*oA-jNR9C-1234,
135,Cg9S-a%uE-rK69C-1234,
136,Sw3Z-q%oE-vNa9C-1234,
137,Rc1B-b%uU-bHZ9C-1234,
138,Cv35-n^aE-gZC9C-1234,
139,Gb28-p@aE-qVx9C-1234,
140,Sy7J-u&eA-jCc9C-1234,
141,Yd5Z-q&uA-nVV9C-1234,
142,Rw2A-p@aU-mW39C-1234,
143,Fy8X-d$oU-zX%9C-1234,
144,Nx8Y-w^eU-gTd9C-1234,
145,Ey38-9&eE-jWn9C-1234,
146,Tk67-6@eA-qXC9C-1234,
147,Rf8C-m^oE-vB89C-1234,
148,Zr3G-a*eU-wBq9C-1234,
149,Wd8J-w&eU-sJq9C-1234,
150,Br4B-w@aE-cF29C-1234,
151,Kv8P-9$eE-cVS9C-1234,
152,Qz9H-f%uA-dJz9C-1234,
153,Bv5C-n@eA-wHT9C-1234,
154,Aa9Y-z$uU-mQT9C-1234,
155,Tc28-6^aA-pFw9C-1234,
156,Ck87-8^oE-nHh9C-1234,
157,Fz8N-x&aA-zNs9C-1234,
158,Po6U-d&aU-fQX9C-1234,
159,Jg4R-w#eU-mHQ9C-1234,
160,Js6V-z%oE-dQq9C-1234,
161,Uu6D-f&oE-zKJ9C-1234,
162,Ng6F-r*aE-qMB9C-1234,
163,Yk8Q-m@eE-vDM9C-1234,
164,Gu5N-1%eU-sQg9C-1234,
165,Jn6Y-7^aU-rWx9C-1234,
